code,name,address,latitude,longitude
PIT,Pittman Hall,"University,MS 38677",34.365,-89.538
MIN,Minor Hall,"University,MS 38677",34.365,-89.538
BRN,Burns Hall,"University,MS 38677",34.365,-89.538
RH1,Residence Hall 1,"University,MS 38677",34.365,-89.538
RH2,Residence Hall 2,"University,MS 38677",34.365,-89.538
RH3,Residence Hall 3,"University,MS 38677",34.365,-89.538
SMH,Stockard and Martin Hall,"University,MS 38677",34.365,-89.538
DEA,Deaton Hall,"University,MS 38677",34.365,-89.538
HEF,Hefley Hall,"University,MS 38677",34.365,-89.538
BRW,Brown Hall,"University,MS 38677",34.365,-89.538
STW,Stewart Hall,"University,MS 38677",34.365,-89.538
CRS,Crosby Hall,"University,MS 38677",34.365,-89.538
RCS,Residential College South,"University,MS 38677",34.365,-89.538
LRC,Luckyday Residential College,"University,MS 38677",34.365,-89.538
